,score,component,cui,term,points
447,hasbled,bleeding_medications,S-329630007,Fenbufen 300mg capsules,1
448,hasbled,bleeding_medications,S-329641009,Fenoprofen 300mg tablets,1
449,hasbled,bleeding_medications,S-329648003,Flurbiprofen 50mg tablets,1
450,hasbled,bleeding_medications,S-329649006,Flurbiprofen 100mg tablets,1
451,hasbled,bleeding_medications,S-370195008,Ibuprofen 200mg capsules,1
452,hasbled,bleeding_medications,S-36045311000001104,Ibuprofen 300mg modified-release capsules,1
453,hasbled,bleeding_medications,S-329710002,Ibuprofen 100mg/5ml oral suspension,1
454,hasbled,bleeding_medications,S-329652003,Ibuprofen 200mg tablets,1
455,hasbled,bleeding_medications,S-329653008,Ibuprofen 400mg tablets,1
456,hasbled,bleeding_medications,S-329654002,Ibuprofen 600mg tablets,1
457,hasbled,bleeding_medications,S-329677002,Ibuprofen 600mg effervescent granules sachets,1
458,hasbled,bleeding_medications,S-329662005,Ibuprofen 800mg modified-release tablets,1
459,hasbled,bleeding_medications,S-36045211000001104,Ibuprofen 300mg modified-release / Codeine 20mg tablets,1
460,hasbled,bleeding_medications,S-10774611000001100,Ibuprofen 400mg capsules,1
461,hasbled,bleeding_medications,S-329683004,Ibuprofen 200mg / Codeine 12.8mg tablets,1
462,hasbled,bleeding_medications,S-36045011000001104,Ibuprofen 200mg modified-release capsules,1
463,hasbled,bleeding_medications,S-329686007,Ibuprofen 100mg/5ml oral suspension sugar free,1
464,hasbled,bleeding_medications,S-12637311000001100,Ibuprofen 200mg/5ml oral suspension,1
465,hasbled,bleeding_medications,S-407904005,Ibuprofen 200mg / Pseudoephedrine hydrochloride 30mg tablets,1
466,hasbled,bleeding_medications,S-4615511000001100,Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free,1
467,hasbled,bleeding_medications,S-3875511000001100,Ibuprofen 200mg orodispersible tablets sugar free,1
468,hasbled,bleeding_medications,S-329806007,Naproxen 250mg tablets,1
469,hasbled,bleeding_medications,S-329807003,Naproxen 500mg tablets,1
470,hasbled,bleeding_medications,S-329838002,Naproxen 250mg gastro-resistant tablets,1
471,hasbled,bleeding_medications,S-329839005,Naproxen 500mg gastro-resistant tablets,1
472,hasbled,bleeding_medications,S-36564511000001104,Naproxen 375mg gastro-resistant tablets,1
473,hasbled,bleeding_medications,S-36030111000001104,Naproxen 500mg modified-release tablets,1
474,hasbled,bleeding_medications,S-329852000,Naproxen 125mg/5ml oral suspension,1
475,hasbled,bleeding_medications,S-8669811000001100,Naproxen 500mg/5ml oral suspension,1
476,hasbled,bleeding_medications,S-12301311000001100,Naproxen 100mg/5ml oral suspension,1
477,hasbled,bleeding_medications,S-12301611000001100,Naproxen 75mg/5ml oral suspension,1
478,hasbled,bleeding_medications,S-18245811000001100,Naproxen 500mg / Esomeprazole 20mg modified-release tablets,1
479,hasbled,bleeding_medications,S-12301411000001100,Naproxen 200mg/5ml oral suspension,1
480,hasbled,bleeding_medications,S-31306711000001100,Naproxen 250mg effervescent tablets sugar free,1
481,hasbled,bleeding_medications,S-32638811000001100,Naproxen 125mg/5ml oral suspension sugar free,1
482,hasbled,bleeding_medications,S-8669711000001100,Naproxen 250mg/5ml oral suspension,1
483,hasbled,bleeding_medications,S-329854004,Phenylbutazone 100mg tablets,1
484,hasbled,bleeding_medications,S-347249002,Phenylbutazone 100mg gastro-resistant tablets,1
485,hasbled,bleeding_medications,S-329855003,Phenylbutazone 200mg tablets,1
486,hasbled,bleeding_medications,S-329862007,Piroxicam 10mg capsules,1
487,hasbled,bleeding_medications,S-329863002,Piroxicam 20mg capsules,1
488,hasbled,bleeding_medications,S-329881004,Piroxicam 10mg dispersible tablets,1
489,hasbled,bleeding_medications,S-329882006,Piroxicam 20mg dispersible tablets,1
490,hasbled,bleeding_medications,S-36017011000001100,Piroxicam 20mg orodispersible tablets sugar free,1
491,hasbled,bleeding_medications,S-3439011000001100,Piroxicam betadex 20mg tablets,1
492,hasbled,bleeding_medications,S-329887000,Sulindac 100mg tablets,1
493,hasbled,bleeding_medications,S-329888005,Sulindac 200mg tablets,1
494,hasbled,bleeding_medications,S-329896000,Tiaprofenic acid 300mg tablets,1
495,hasbled,bleeding_medications,S-329910006,Nabumetone 500mg tablets,1
496,hasbled,bleeding_medications,S-32778411000001100,Nabumetone 500mg/5ml oral suspension,1
497,hasbled,bleeding_medications,S-927411000001108,Caprin 75mg gastro-resistant tablets,1
498,hasbled,bleeding_medications,S-473711000001109,Enprin 75mg gastro-resistant tablets,1
499,hasbled,bleeding_medications,S-281311000001104,Micropirin 75mg gastro-resistant tablets,1
500,hasbled,bleeding_medications,S-445511000001104,Gencardia 75mg gastro-resistant tablets,1
501,hasbled,bleeding_medications,S-17221711000001100,Pure Health Aspirin 75mg dispersible tablets,1
502,hasbled,bleeding_medications,S-20536811000001100,Boots Aspirin 75mg gastro-resistant tablets,1
503,hasbled,bleeding_medications,S-32968711000001100,Danamep 75mg dispersible tablets,1
504,hasbled,bleeding_medications,S-35581511000001100,Mandaprin 75mg dispersible tablets,1
505,hasbled,bleeding_medications,S-319799004,Clopidogrel 75mg tablets,1
506,hasbled,bleeding_medications,S-15933611000001100,Clopidogrel 75mg tablets,1
507,hasbled,bleeding_medications,S-27841311000001100,Clopidogrel 75mg tablets,1
508,hasbled,bleeding_medications,S-15981011000001100,Clopidogrel 75mg tablets,1
509,hasbled,bleeding_medications,S-15927711000001100,Clopidogrel 75mg tablets,1
510,hasbled,bleeding_medications,S-21643011000001100,Clopidogrel 75mg tablets,1
511,hasbled,bleeding_medications,S-15923011000001100,Clopidogrel 75mg tablets,1
512,hasbled,bleeding_medications,S-18045011000001100,Clopidogrel 75mg tablets,1
513,hasbled,bleeding_medications,S-17217211000001100,Clopidogrel 75mg tablets,1
514,hasbled,bleeding_medications,S-30138011000001100,Clopidogrel 75mg tablets,1
515,hasbled,bleeding_medications,S-17561911000001100,Clopidogrel 75mg tablets,1
516,hasbled,bleeding_medications,S-18474811000001100,Clopidogrel 75mg tablets,1
517,hasbled,bleeding_medications,S-32398611000001100,Clopidogrel 75mg tablets,1
518,hasbled,bleeding_medications,S-29667511000001100,Clopidogrel 75mg tablets,1
519,hasbled,bleeding_medications,S-30015311000001100,Clopidogrel 75mg tablets,1
520,hasbled,bleeding_medications,S-38846011000001104,Clopidogrel 75mg tablets,1
521,hasbled,bleeding_medications,S-23953911000001100,Clopidogrel 75mg tablets,1
522,hasbled,bleeding_medications,S-16247711000001100,Clopidogrel 75mg tablets,1
523,hasbled,bleeding_medications,S-17861911000001100,Clopidogrel 75mg tablets,1
524,hasbled,bleeding_medications,S-24108111000001100,Clopidogrel 75mg tablets,1
525,hasbled,bleeding_medications,S-18720411000001100,Clopidogrel 75mg tablets,1
526,hasbled,stroke,S-16002031000119102,Cerebrovascular accident due to thrombus of right middle cerebral artery (disorder),1
527,hasbled,stroke,S-16002111000119106,Cerebrovascular accident due to thrombus of left middle cerebral artery (disorder),1
528,hasbled,bleeding_medications,S-15926111000001100,Clopidogrel 75mg tablets,1
529,hasbled,bleeding_medications,S-36870711000001104,Clopidogrel 75mg tablets,1
530,hasbled,bleeding_medications,S-21936211000001100,Clopidogrel 75mg tablets,1
531,hasbled,bleeding_medications,S-18548711000001100,Clopidogrel 75mg tablets,1
532,hasbled,bleeding_medications,S-22700111000001100,Clopidogrel 75mg tablets,1
533,hasbled,bleeding_medications,S-8816311000001100,Clopidogrel 75mg oral powder sachets,1
534,hasbled,bleeding_medications,S-8808611000001100,Clopidogrel 75mg oral powder sachets,1
535,hasbled,bleeding_medications,S-16072911000001100,Clopidogrel 25mg/5ml oral suspension,1
536,hasbled,bleeding_medications,S-16060011000001100,Clopidogrel 25mg/5ml oral suspension,1
537,hasbled,bleeding_medications,S-429540001,Clopidogrel 300mg tablets,1
538,hasbled,bleeding_medications,S-16089411000001100,Clopidogrel 11mg oral powder sachets,1
539,hasbled,bleeding_medications,S-16087211000001100,Clopidogrel 11mg oral powder sachets,1
540,hasbled,bleeding_medications,S-22342711000001100,Clopidogrel 4mg oral powder sachets,1
541,hasbled,bleeding_medications,S-22334911000001100,Clopidogrel 4mg oral powder sachets,1
542,hasbled,bleeding_medications,S-22402511000001100,Clopidogrel 75mg/5ml oral solution,1
543,hasbled,bleeding_medications,S-22244311000001100,Clopidogrel 75mg/5ml oral solution,1
544,hasbled,bleeding_medications,S-8426611000001100,Clopidogrel 75mg/5ml oral suspension,1
545,hasbled,bleeding_medications,S-8400511000001100,Clopidogrel 75mg/5ml oral suspension,1
546,hasbled,bleeding_medications,S-18747911000001100,Clopidogrel 1mg/ml oral suspension,1
547,hasbled,bleeding_medications,S-18739811000001100,Clopidogrel 1mg/ml oral suspension,1
548,hasbled,bleeding_medications,S-28415011000001100,Clopidogrel 5mg oral powder sachets,1
549,hasbled,bleeding_medications,S-28407211000001100,Clopidogrel 5mg oral powder sachets,1
550,hasbled,bleeding_medications,S-30919611000001100,Clopidogrel 6mg oral powder sachets,1
551,hasbled,bleeding_medications,S-30874811000001100,Clopidogrel 6mg oral powder sachets,1
552,hasbled,bleeding_medications,S-31140711000001100,Clopidogrel 3.5mg oral powder sachets,1
553,hasbled,bleeding_medications,S-31135811000001100,Clopidogrel 3.5mg oral powder sachets,1
554,hasbled,bleeding_medications,S-32392111000001100,Clopidogrel 6mg/ml oral suspension,1
555,hasbled,bleeding_medications,S-32338411000001100,Clopidogrel 6mg/ml oral suspension,1
556,hasbled,bleeding_medications,S-34682711000001100,Clopidogrel 7mg/ml oral suspension,1
557,hasbled,bleeding_medications,S-8253811000001100,Aspirin 50mg/5ml oral suspension,1
558,hasbled,bleeding_medications,S-12012911000001100,Aspirin 30mg/5ml oral solution,1
559,hasbled,bleeding_medications,S-12013011000001100,Aspirin 30mg/5ml oral suspension,1
560,hasbled,bleeding_medications,S-11978011000001100,Aspirin 30mg/5ml oral solution,1
561,hasbled,bleeding_medications,S-11977711000001100,Aspirin 30mg/5ml oral suspension,1
562,hasbled,bleeding_medications,S-12014011000001100,Aspirin 75mg/5ml oral solution,1
563,hasbled,bleeding_medications,S-12014111000001100,Aspirin 75mg/5ml oral suspension,1
564,hasbled,bleeding_medications,S-11982511000001100,Aspirin 75mg/5ml oral solution,1
565,hasbled,bleeding_medications,S-11982011000001100,Aspirin 75mg/5ml oral suspension,1
566,hasbled,bleeding_medications,S-12012211000001100,Aspirin 15mg/5ml oral solution,1
567,hasbled,bleeding_medications,S-12012311000001100,Aspirin 15mg/5ml oral suspension,1
568,hasbled,bleeding_medications,S-11972611000001100,Aspirin 15mg/5ml oral solution,1
569,hasbled,bleeding_medications,S-11971811000001100,Aspirin 15mg/5ml oral suspension,1
570,hasbled,bleeding_medications,S-12013211000001100,Aspirin 37.5mg/5ml oral solution,1
571,hasbled,bleeding_medications,S-12013311000001100,Aspirin 37.5mg/5ml oral suspension,1
572,hasbled,bleeding_medications,S-11978911000001100,Aspirin 37.5mg/5ml oral solution,1
573,hasbled,bleeding_medications,S-11978311000001100,Aspirin 37.5mg/5ml oral suspension,1
574,hasbled,bleeding_medications,S-8280211000001100,Aspirin 225mg/5ml oral solution,1
575,hasbled,bleeding_medications,S-8280311000001100,Aspirin 225mg/5ml oral suspension,1
576,hasbled,bleeding_medications,S-8248411000001100,Aspirin 225mg/5ml oral solution,1
577,hasbled,bleeding_medications,S-8249211000001100,Aspirin 225mg/5ml oral suspension,1
578,hasbled,bleeding_medications,S-16100911000001100,Aspirin 37.5mg oral powder sachets,1
579,hasbled,bleeding_medications,S-16096411000001100,Aspirin 37.5mg oral powder sachets,1
580,hasbled,bleeding_medications,S-14012211000001100,Aspirin 40mg oral powder sachets,1
581,hasbled,bleeding_medications,S-13980411000001100,Aspirin 40mg oral powder sachets,1
582,hasbled,bleeding_medications,S-800511000001106,Angettes 75 tablets,1
583,hasbled,bleeding_medications,S-414311000001102,Nu-Seals 75 gastro-resistant tablets,1
584,hasbled,bleeding_medications,S-636011000001100,PostMI 75 dispersible tablets,1
585,hasbled,bleeding_medications,S-38411000001101,PostMI 75 EC tablets,1
586,hasbled,bleeding_medications,S-34676811000001100,Clopidogrel 7mg/ml oral suspension,1
587,hasbled,bleeding_medications,S-36903411000001104,Clopidogrel 5mg/5ml oral solution,1
588,hasbled,bleeding_medications,S-36894011000001104,Clopidogrel 5mg/5ml oral solution,1
589,hasbled,bleeding_medications,S-454611000001104,Plavix 75mg tablets,1
590,hasbled,bleeding_medications,S-13663511000001100,Plavix 300mg tablets,1
591,hasbled,bleeding_medications,S-15907411000001100,Grepid 75mg tablets,1
592,hasbled,bleeding_medications,S-36069811000001104,Dipyridamole 10mg/2ml solution for injection ampoules,1
593,hasbled,bleeding_medications,S-319758005,Dipyridamole 25mg tablets,1
594,hasbled,bleeding_medications,S-848311000001106,Dipyridamole 25mg tablets,1
595,hasbled,bleeding_medications,S-203211000001105,Dipyridamole 25mg tablets,1
596,hasbled,bleeding_medications,S-894811000001102,Dipyridamole 25mg tablets,1
597,hasbled,bleeding_medications,S-23877911000001100,Dipyridamole 25mg tablets,1
598,hasbled,bleeding_medications,S-11020511000001100,Dipyridamole 25mg tablets,1
599,hasbled,bleeding_medications,S-665111000001104,Dipyridamole 25mg tablets,1
600,hasbled,bleeding_medications,S-38874111000001104,Dipyridamole 25mg tablets,1
601,hasbled,bleeding_medications,S-17892911000001100,Dipyridamole 25mg tablets,1
602,hasbled,bleeding_medications,S-29830011000001100,Dipyridamole 25mg tablets,1
603,hasbled,bleeding_medications,S-21931011000001100,Dipyridamole 25mg tablets,1
604,hasbled,bleeding_medications,S-319759002,Dipyridamole 100mg tablets,1
605,hasbled,bleeding_medications,S-151611000001100,Dipyridamole 100mg tablets,1
606,hasbled,bleeding_medications,S-787811000001109,Dipyridamole 100mg tablets,1
607,hasbled,bleeding_medications,S-650711000001100,Dipyridamole 100mg tablets,1
608,hasbled,bleeding_medications,S-17968711000001100,Dipyridamole 100mg tablets,1
609,hasbled,bleeding_medications,S-23877611000001100,Dipyridamole 100mg tablets,1
610,hasbled,bleeding_medications,S-11020711000001100,Dipyridamole 100mg tablets,1
611,hasbled,bleeding_medications,S-477911000001102,Dipyridamole 100mg tablets,1
612,hasbled,bleeding_medications,S-38873911000001104,Dipyridamole 100mg tablets,1
613,hasbled,bleeding_medications,S-752511000001101,Dipyridamole 100mg tablets,1
614,hasbled,bleeding_medications,S-17893111000001100,Dipyridamole 100mg tablets,1
615,hasbled,renal_disease,S-731000119105,Chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder),1
616,hasbled,bleeding_medications,S-29829411000001100,Dipyridamole 100mg tablets,1
617,hasbled,bleeding_medications,S-21931211000001100,Dipyridamole 100mg tablets,1
618,hasbled,bleeding_medications,S-8456611000001100,Dipyridamole 100mg/5ml oral solution,1
619,hasbled,bleeding_medications,S-8456511000001100,Dipyridamole 100mg/5ml oral suspension,1
620,hasbled,bleeding_medications,S-8441811000001100,Dipyridamole 100mg/5ml oral solution,1
621,hasbled,bleeding_medications,S-8442111000001100,Dipyridamole 100mg/5ml oral suspension,1
622,hasbled,bleeding_medications,S-12029811000001100,Dipyridamole 5mg/5ml oral solution,1
623,hasbled,bleeding_medications,S-12029911000001100,Dipyridamole 5mg/5ml oral suspension,1
624,hasbled,bleeding_medications,S-12028511000001100,Dipyridamole 5mg/5ml oral solution,1
625,hasbled,bleeding_medications,S-12027211000001100,Dipyridamole 5mg/5ml oral suspension,1
626,hasbled,bleeding_medications,S-12028311000001100,Dipyridamole 10mg/5ml oral solution,1
627,hasbled,bleeding_medications,S-12028411000001100,Dipyridamole 10mg/5ml oral suspension,1
628,hasbled,bleeding_medications,S-12011211000001100,Dipyridamole 10mg/5ml oral solution,1
629,hasbled,bleeding_medications,S-12010311000001100,Dipyridamole 10mg/5ml oral suspension,1
630,hasbled,bleeding_medications,S-36070011000001104,Dipyridamole 50mg/5ml oral suspension sugar free,1
631,hasbled,bleeding_medications,S-3995111000001100,Dipyridamole 50mg/5ml oral suspension sugar free,1
632,hasbled,bleeding_medications,S-104211000001106,Dipyridamole 50mg/5ml oral suspension sugar free,1
633,hasbled,bleeding_medications,S-23969411000001100,Dipyridamole 50mg/5ml oral suspension sugar free,1
634,hasbled,bleeding_medications,S-29674811000001100,Dipyridamole 50mg/5ml oral suspension sugar free,1
635,hasbled,bleeding_medications,S-339811000001108,Dipyridamole 50mg/5ml oral suspension sugar free,1
636,hasbled,bleeding_medications,S-15082611000001100,Dipyridamole 50mg/5ml oral suspension sugar free,1
637,hasbled,bleeding_medications,S-22392411000001100,Dipyridamole 50mg/5ml oral suspension sugar free,1
638,hasbled,bleeding_medications,S-8455811000001100,Dipyridamole 50mg/5ml oral solution,1
639,hasbled,bleeding_medications,S-8445311000001100,Dipyridamole 50mg/5ml oral solution,1
640,hasbled,bleeding_medications,S-8456411000001100,Dipyridamole 200mg/5ml oral solution,1
641,hasbled,bleeding_medications,S-8444111000001100,Dipyridamole 200mg/5ml oral solution,1
642,hasbled,bleeding_medications,S-8456211000001100,Dipyridamole 250mg/5ml oral solution,1
643,hasbled,bleeding_medications,S-8456111000001100,Dipyridamole 250mg/5ml oral suspension,1
644,hasbled,bleeding_medications,S-8445011000001100,Dipyridamole 250mg/5ml oral solution,1
645,hasbled,bleeding_medications,S-8445511000001100,Dipyridamole 250mg/5ml oral suspension,1
646,hasbled,bleeding_medications,S-8456011000001100,Dipyridamole 25mg/5ml oral solution,1
647,hasbled,bleeding_medications,S-8455911000001100,Dipyridamole 25mg/5ml oral suspension,1
648,hasbled,bleeding_medications,S-8445911000001100,Dipyridamole 25mg/5ml oral solution,1
649,hasbled,bleeding_medications,S-8446211000001100,Dipyridamole 25mg/5ml oral suspension,1
650,hasbled,bleeding_medications,S-12029011000001100,Dipyridamole 15mg/5ml oral solution,1
651,hasbled,bleeding_medications,S-12029211000001100,Dipyridamole 15mg/5ml oral suspension,1
652,hasbled,bleeding_medications,S-12016511000001100,Dipyridamole 15mg/5ml oral solution,1
653,hasbled,bleeding_medications,S-12014911000001100,Dipyridamole 15mg/5ml oral suspension,1
654,hasbled,bleeding_medications,S-12029611000001100,Dipyridamole 30mg/5ml oral solution,1
655,hasbled,bleeding_medications,S-12029711000001100,Dipyridamole 30mg/5ml oral suspension,1
656,hasbled,bleeding_medications,S-12025511000001100,Dipyridamole 30mg/5ml oral solution,1
657,hasbled,bleeding_medications,S-12023911000001100,Dipyridamole 30mg/5ml oral suspension,1
658,hasbled,bleeding_medications,S-12029311000001100,Dipyridamole 20mg/5ml oral solution,1
659,hasbled,bleeding_medications,S-12029511000001100,Dipyridamole 20mg/5ml oral suspension,1
660,hasbled,bleeding_medications,S-12021211000001100,Dipyridamole 20mg/5ml oral solution,1
661,hasbled,bleeding_medications,S-12018111000001100,Dipyridamole 20mg/5ml oral suspension,1
662,hasbled,bleeding_medications,S-12028711000001100,Dipyridamole 12.5mg/5ml oral solution,1
663,hasbled,bleeding_medications,S-12028811000001100,Dipyridamole 12.5mg/5ml oral suspension,1
664,hasbled,bleeding_medications,S-12012711000001100,Dipyridamole 12.5mg/5ml oral solution,1
665,hasbled,bleeding_medications,S-12011911000001100,Dipyridamole 12.5mg/5ml oral suspension,1
666,hasbled,bleeding_medications,S-31948811000001100,Dipyridamole 200mg/5ml oral suspension sugar free,1
667,hasbled,bleeding_medications,S-32502011000001100,Dipyridamole 200mg/5ml oral suspension sugar free,1
668,hasbled,bleeding_medications,S-32419011000001100,Dipyridamole 200mg/5ml oral suspension sugar free,1
669,hasbled,bleeding_medications,S-31940111000001100,Dipyridamole 200mg/5ml oral suspension sugar free,1
670,hasbled,bleeding_medications,S-8456311000001100,Dipyridamole 200mg/5ml oral suspension,1
671,hasbled,bleeding_medications,S-8444611000001100,Dipyridamole 200mg/5ml oral suspension,1
672,hasbled,bleeding_medications,S-635611000001102,Persantin 25mg tablets,1
673,hasbled,bleeding_medications,S-623011000001106,Persantin 100mg tablets,1
674,hasbled,bleeding_medications,S-37927211000001104,Aspirin 75mg gastro-resistant tablets,1
675,hasbled,bleeding_medications,S-844511000001107,Aspirin 75mg gastro-resistant tablets,1
676,hasbled,bleeding_medications,S-592811000001109,Aspirin 75mg gastro-resistant tablets,1
677,hasbled,bleeding_medications,S-50611000001102,Aspirin 75mg gastro-resistant tablets,1
678,hasbled,bleeding_medications,S-12534311000001100,Aspirin 75mg gastro-resistant tablets,1
679,hasbled,bleeding_medications,S-29996711000001100,Aspirin 75mg gastro-resistant tablets,1
680,hasbled,bleeding_medications,S-38797311000001104,Aspirin 75mg gastro-resistant tablets,1
681,hasbled,bleeding_medications,S-795611000001102,Aspirin 75mg gastro-resistant tablets,1
682,hasbled,bleeding_medications,S-17786111000001100,Aspirin 75mg gastro-resistant tablets,1
683,hasbled,bleeding_medications,S-476711000001102,Aspirin 75mg gastro-resistant tablets,1
684,hasbled,bleeding_medications,S-29771211000001100,Aspirin 75mg gastro-resistant tablets,1
685,hasbled,bleeding_medications,S-370411000001104,Aspirin 75mg gastro-resistant tablets,1
686,hasbled,bleeding_medications,S-295211000001106,Aspirin 75mg gastro-resistant tablets,1
687,hasbled,bleeding_medications,S-21777711000001100,Aspirin 75mg gastro-resistant tablets,1
688,hasbled,bleeding_medications,S-16431611000001100,Aspirin 75mg gastro-resistant tablets,1
689,hasbled,bleeding_medications,S-15967511000001100,Aspirin 75mg gastro-resistant tablets,1
690,hasbled,bleeding_medications,S-30798211000001100,Aspirin 25mg capsules,1
691,hasbled,bleeding_medications,S-30791611000001100,Aspirin 25mg capsules,1
692,hasbled,bleeding_medications,S-12012511000001100,Aspirin 25mg/5ml oral solution,1
693,hasbled,bleeding_medications,S-12012611000001100,Aspirin 25mg/5ml oral suspension,1
694,hasbled,bleeding_medications,S-11977111000001100,Aspirin 25mg/5ml oral solution,1
695,hasbled,bleeding_medications,S-11973211000001100,Aspirin 25mg/5ml oral suspension,1
696,hasbled,bleeding_medications,S-12013511000001100,Aspirin 40mg/5ml oral solution,1
697,hasbled,bleeding_medications,S-12013711000001100,Aspirin 40mg/5ml oral suspension,1
698,hasbled,bleeding_medications,S-11980211000001100,Aspirin 40mg/5ml oral solution,1
699,hasbled,bleeding_medications,S-11979511000001100,Aspirin 40mg/5ml oral suspension,1
700,hasbled,bleeding_medications,S-8280711000001100,Aspirin 50mg/5ml oral solution,1
701,hasbled,bleeding_medications,S-8280811000001100,Aspirin 50mg/5ml oral suspension,1
702,hasbled,bleeding_medications,S-8253111000001100,Aspirin 50mg/5ml oral solution,1
703,hasbled,bleeding_medications,S-12013811000001100,Aspirin 62.5mg/5ml oral solution,1
704,hasbled,bleeding_medications,S-12013911000001100,Aspirin 62.5mg/5ml oral suspension,1
705,hasbled,bleeding_medications,S-11981411000001100,Aspirin 62.5mg/5ml oral solution,1
706,hasbled,bleeding_medications,S-11980811000001100,Aspirin 62.5mg/5ml oral suspension,1
707,hasbled,bleeding_medications,S-12012111000001100,Aspirin 100mg/5ml oral solution,1
708,hasbled,bleeding_medications,S-11712811000001100,Aspirin 100mg/5ml oral suspension,1
709,hasbled,bleeding_medications,S-11968411000001100,Aspirin 100mg/5ml oral solution,1
710,hasbled,bleeding_medications,S-11692711000001100,Aspirin 100mg/5ml oral suspension,1
711,hasbled,bleeding_medications,S-10064711000001100,Aspirin 75mg effervescent tablets,1
712,hasbled,bleeding_medications,S-10063211000001100,Aspirin 75mg effervescent tablets,1
713,hasbled,bleeding_medications,S-10063011000001100,Aspirin 75mg effervescent tablets,1
714,hasbled,bleeding_medications,S-319773006,Aspirin 75mg dispersible tablets,1
715,hasbled,bleeding_medications,S-765111000001108,Aspirin 75mg dispersible tablets,1
716,hasbled,bleeding_medications,S-916711000001109,Aspirin 75mg dispersible tablets,1
717,hasbled,bleeding_medications,S-595211000001103,Aspirin 75mg dispersible tablets,1
718,hasbled,bleeding_medications,S-9789111000001100,Aspirin 75mg dispersible tablets,1
719,hasbled,bleeding_medications,S-698811000001100,Aspirin 75mg dispersible tablets,1
720,hasbled,bleeding_medications,S-15985111000001100,Aspirin 75mg dispersible tablets,1
721,hasbled,bleeding_medications,S-22610611000001100,Aspirin 75mg dispersible tablets,1
722,hasbled,bleeding_medications,S-163411000001106,Aspirin 75mg dispersible tablets,1
723,hasbled,bleeding_medications,S-173911000001105,Aspirin 75mg dispersible tablets,1
724,hasbled,bleeding_medications,S-12430611000001100,Aspirin 75mg dispersible tablets,1
725,hasbled,bleeding_medications,S-37148811000001104,Aspirin 75mg dispersible tablets,1
726,hasbled,bleeding_medications,S-29996011000001100,Aspirin 75mg dispersible tablets,1
727,hasbled,bleeding_medications,S-38796611000001104,Aspirin 75mg dispersible tablets,1
728,hasbled,bleeding_medications,S-13662311000001100,Aspirin 75mg dispersible tablets,1
729,hasbled,bleeding_medications,S-17785711000001100,Aspirin 75mg dispersible tablets,1
730,hasbled,bleeding_medications,S-15069611000001100,Aspirin 75mg dispersible tablets,1
731,hasbled,renal_disease,S-324411000000105,Chronic kidney disease stage 3B without proteinuria (disorder),1
732,hasbled,stroke,S-329641000119104,Cerebrovascular accident due to thrombus of basilar artery (disorder),1
733,hasbled,renal_disease,S-324281000000104,Chronic kidney disease stage 3 without proteinuria (disorder),1
734,hasbled,renal_disease,S-324211000000106,Chronic kidney disease stage 2 without proteinuria (disorder),1
735,hasbled,renal_disease,S-324471000000100,Chronic kidney disease stage 4 without proteinuria (disorder),1
736,hasbled,renal_disease,S-324151000000104,Chronic kidney disease stage 1 without proteinuria (disorder),1
737,hasbled,renal_disease,S-129171000119106,Chronic kidney disease stage 3 due to hypertension (disorder),1
738,hasbled,liver_disease,S-235910007,Liver transplant disorder (disorder),1
739,hasbled,liver_disease,S-197362001,Toxic liver disease with fibrosis and cirrhosis of liver (disorder),1
740,hasbled,liver_disease,S-253807009,Intrahepatic biliary atresia (disorder),1
741,hasbled,liver_disease,S-213153001,Liver transplant failure and rejection (disorder),1
742,hasbled,liver_disease,S-195475003,Esophageal varices with bleeding associated with another disorder (disorder),1
743,hasbled,liver_disease,S-235884008,Fulminant hepatic failure (disorder),1
744,hasbled,renal_disease,S-324371000000106,Chronic kidney disease stage 3B with proteinuria (disorder),1
745,hasbled,renal_disease,S-324121000000109,Chronic kidney disease stage 1 with proteinuria (disorder),1
746,hasbled,renal_disease,S-324501000000107,Chronic kidney disease stage 5 with proteinuria (disorder),1
747,hasbled,renal_disease,S-324251000000105,Chronic kidney disease stage 3 with proteinuria (disorder),1
748,hasbled,renal_disease,S-324181000000105,Chronic kidney disease stage 2 with proteinuria (disorder),1
749,hasbled,renal_disease,S-324541000000105,Chronic kidney disease stage 5 without proteinuria (disorder),1
750,hasbled,renal_disease,S-950081000000107,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2 (disorder),1
751,hasbled,liver_disease,S-91109007,Gastric varices (disorder),1
752,hasbled,liver_disease,S-43904005,Macronodular cirrhosis (disorder),1
753,hasbled,liver_disease,S-362421000000102,Chronic hepatitis annual review - enhanced services administration (procedure),1
754,hasbled,liver_disease,S-34742003,Portal hypertension (disorder),1
755,hasbled,liver_disease,S-51292008,Hepatorenal syndrome (disorder),1
756,hasbled,liver_disease,S-235916001,Ichthyosis congenita with biliary atresia (disorder),1
757,hasbled,liver_disease,S-60037002,Chronic persistent viral hepatitis (disorder),1
758,hasbled,liver_disease,S-432777003,Accelerated rejection of liver transplant (disorder),1
759,hasbled,liver_disease,S-725939009,Cirrhosis of liver caused by amiodarone (disorder),1
760,hasbled,liver_disease,S-768006009,Chronic hepatitis C caused by Hepatitis C virus genotype 3 (disorder),1
761,hasbled,liver_disease,S-725940006,Cirrhosis of liver caused by methyldopa (disorder),1
762,hasbled,liver_disease,S-853761000000103,Living donor liver transplantation (procedure),1
